apellido,municipio
RIVERA,PEÑUELAS
FIGUEROA,PONCE
GUADALUPE,PONCE
GUZMAN,JUANA DIAZ
PEREZ,PONCE
ROSARIO,PONCE
VIDRO,SABANA GRANDE
VELAZQUEZ,PEÑUELAS
NEGRON,UTUADO
TORRES,PONCE
MARTINEZ,PONCE
BONILLA,PONCE
IRIZARRY,LAJAS
PAGAN,GUANICA
RIOS,CATAÑO
PEREZ,PONCE
DELGADO,GUAYANILLA
COLLAZO,PONCE
COTTO,CAYEY
HERNANDEZ,PONCE
TORO,PONCE
ANDUJAR,UTUADO
ROSARIO,PONCE
CASIANO,GUANICA
ROSADO,SABANA GRANDE
SANTOS,LUQUILLO
VELAZQUEZ,PEÑUELAS
SOTO,SAN SEBASTIAN
CRUZ,LAJAS
FELICIANO,PONCE
SANTIAGO,PONCE
TORRADO,UTUADO
RIVERA,UTUADO
DONATO,PONCE
GUZMAN,PONCE
TORRES,PONCE
SANTIAGO,UTUADO
ECHEVARRIA,PEÑUELAS
SANTIAGO,PONCE
ROSA,PONCE
ALVAREZ,PONCE
RIVERA,PONCE
QUILES,UTUADO
GUADALUPE,PONCE
VAZQUEZ,SABANA GRANDE
VEGA,SABANA GRANDE
GARAYUA,SABANA GRANDE
IRIZARRY,PEÑUELAS
CASTRO,LAJAS
CAQUIAS,PONCE
TORO,PONCE
COLOMER,PONCE
TORRES,PONCE
RIVERA,UTUADO
CHAMARRO,PONCE
MORALES,PONCE
MARTINEZ,GUAYANILLA
SINIGAGLIA,GUAYANILLA
VELEZ,LAJAS
GONZALEZ,UTUADO
VELAZQUEZ,PEÑUELAS
HEREDIA,UTUADO
RODRIGUEZ,PONCE
PIERETTI,SAN JUAN
LOPEZ,PONCE
RIVERA,PONCE
RIVERA,PONCE
ACOSTA,GUANICA
RIVERA,PONCE
RAMOS,PEÑUELAS
MERCED,PONCE
SANTIAGO,GUAYAMA
BORRERO,PONCE
IRIZARRY,PONCE
MEDINA,GUAYANILLA
OMS,PONCE
FERNANDEZ,UTUADO
GONZALEZ,UTUADO
MALDONADO,UTUADO
LOPEZ,JUANA DIAZ
PEREZ,PONCE
VILA,PONCE
RAMIREZ,SABANA GRANDE
MARTINEZ,SABANA GRANDE
CASIANO,SABANA GRANDE
LOPEZ,PONCE
VEGA,PONCE
VELAZQUEZ,PONCE
WISCOVITCH,PEÑUELAS
MORALES,PEÑUELAS
VAZQUEZ,SABANA GRANDE
LOPEZ,SABANA GRANDE
ALBINO,SABANA GRANDE
ALICEA,PONCE
CUEVAS,UTUADO
RIVERA,SABANA GRANDE
MARTINEZ,LAJAS
ACOSTA,LAJAS
GARCIA,LAJAS
GONZALEZ,PONCE
GONZALEZ,PONCE
